Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time
TLS,TCP,1,192.168.1.2,443,58670,1514,28.525973924351337
TLS,TCP,1,192.168.1.2,443,58670,1514,28.76212576970038
TLS,TCP,1,192.168.1.2,443,58670,1514,28.988272542617523
TLS,TCP,1,192.168.1.2,443,58670,1514,29.19540902288709
TLS,TCP,1,192.168.1.2,443,58670,1514,29.41900331113162
TCP,TCP,0,23.76.156.32,58670,443,54,29.695270949021438
TLS,TCP,1,192.168.1.2,443,58670,1514,29.907655607846188
TLS,TCP,1,192.168.1.2,443,58670,1514,30.13691326824069
TLS,TCP,1,192.168.1.2,443,58670,1514,30.36506804432124
TLS,TCP,1,192.168.1.2,443,58670,1514,30.582958200000515
TLS,TCP,1,192.168.1.2,443,58670,1514,30.707844617407684
TLS,TCP,1,192.168.1.2,443,58670,1514,30.923001157430136
TLS,TCP,1,192.168.1.2,443,58670,1514,31.146244701483923
TLS,TCP,1,192.168.1.2,443,58670,1514,31.368433351461235
TCP,TCP,0,23.76.156.32,58670,443,54,31.61757593891141
TLS,TCP,1,192.168.1.2,443,58670,1514,31.837801422881096
TLS,TCP,1,192.168.1.2,443,58670,1514,32.04756378331045
TLS,TCP,1,192.168.1.2,443,58670,1514,32.24676358819085
TLS,TCP,1,192.168.1.2,443,58670,1514,32.44479657354751
TLS,TCP,1,192.168.1.2,443,58670,1514,32.641677436927964
TLS,TCP,1,192.168.1.2,443,58670,1514,32.8565108607008
TLS,TCP,1,192.168.1.2,443,58670,1514,33.05116823951257
TLS,TCP,1,192.168.1.2,443,58670,1514,33.2735591815426
TCP,TCP,0,23.76.156.32,58670,443,54,33.52409385106802
TLS,TCP,1,192.168.1.2,443,58670,1514,33.72536946752267
TLS,TCP,1,192.168.1.2,443,58670,1514,33.91585312720271
TLS,TCP,1,192.168.1.2,443,58670,1514,34.12480371930844
TLS,TCP,1,192.168.1.2,443,58670,1514,34.322980743822086
TLS,TCP,1,192.168.1.2,443,58670,1514,34.520135354145594
TLS,TCP,1,192.168.1.2,443,58670,1514,34.70640706324317
TLS,TCP,1,192.168.1.2,443,58670,1514,34.90152177985387
TLS,TCP,1,192.168.1.2,443,58670,1514,35.09564241931683
TCP,TCP,0,23.76.156.32,58670,443,54,35.34865745854528
TLS,TCP,1,192.168.1.2,443,58670,1514,35.5409834213414
TLS,TCP,1,192.168.1.2,443,58670,1514,35.732337676363635
TLS,TCP,1,192.168.1.2,443,58670,1514,35.92272762553228
TLS,TCP,1,192.168.1.2,443,58670,1514,36.07176228787144
TLS,TCP,1,192.168.1.2,443,58670,1514,36.26012938372489
TLS,TCP,1,192.168.1.2,443,58670,1514,36.33633996901463
TLS,TCP,1,192.168.1.2,443,58670,1514,36.52253665492409
TLS,TCP,1,192.168.1.2,443,58670,1514,36.697678078087876
TCP,TCP,0,23.76.156.32,58670,443,54,36.92266036000525
TLS,TCP,1,192.168.1.2,443,58670,1514,37.11638173003986
TLS,TCP,1,192.168.1.2,443,58670,1514,37.319489970440145
TLS,TCP,1,192.168.1.2,443,58670,1514,37.50127657263888
TLS,TCP,1,192.168.1.2,443,58670,1514,37.610276220936726
TLS,TCP,1,192.168.1.2,443,58670,1514,37.75931594300743
TLS,TCP,1,192.168.1.2,443,58670,1514,37.93820944449258
TLS,TCP,1,192.168.1.2,443,58670,1514,38.12653590025003
TLS,TCP,1,192.168.1.2,443,58670,1514,38.31405173888934
TCP,TCP,0,23.76.156.32,58670,443,54,38.54226710489476
TCP,TCP,0,23.76.156.32,58670,443,54,38.7595586421918
TLS,TCP,1,192.168.1.2,443,58670,1514,38.96579026849099
TLS,TCP,1,192.168.1.2,443,58670,1514,39.139851852741934
TLS,TCP,1,192.168.1.2,443,58670,1514,39.30256282113351
TLS,TCP,1,192.168.1.2,443,58670,1514,39.46440849509903
TLS,TCP,1,192.168.1.2,443,58670,1514,39.583283860928844
TLS,TCP,1,192.168.1.2,443,58670,1514,39.65928393043619
TLS,TCP,1,192.168.1.2,443,58670,1514,39.83940842363261
TLS,TCP,1,192.168.1.2,443,58670,1514,40.00823893307549
TCP,TCP,0,23.76.156.32,58670,443,54,40.22909391518263
TLS,TCP,1,192.168.1.2,443,58670,1514,40.39642862905531
TLS,TCP,1,192.168.1.2,443,58670,1514,40.38330643668479
TLS,TCP,1,192.168.1.2,443,58670,1514,40.54876047398399
TLS,TCP,1,192.168.1.2,443,58670,1514,40.72399949857659
TLS,TCP,1,192.168.1.2,443,58670,1514,40.898515217955996
TLS,TCP,1,192.168.1.2,443,58670,1514,41.02991031421586
TLS,TCP,1,192.168.1.2,443,58670,1514,41.21350936731187
TLS,TCP,1,192.168.1.2,443,58670,1514,41.39645001609494
TCP,TCP,0,23.76.156.32,58670,443,54,41.610772841726366
